ID,TEMPO_PERMANENCIA_CLIENTE_MESES,B,C,D,E,G,H,J,OUTROS,TOTAL_DOLAR_FATURADO,TICKET_MEDIO,RECENCIA,FREQUENCIA,VALOR,CHURN
87.0,0.0,0,1,1,0,0,0,1,0,1422.6,1422.6,1157.0,1.0,1.0,1
88.0,0.0,1,1,1,0,1,0,1,0,5101.32,5101.32,1552.0,1.0,1.0,0
89.0,0.0,1,1,1,0,1,0,1,1,8293.14,8293.14,2557.0,1.0,1.0,1
90.0,47.0,0,15,0,0,10,10,15,10,15517.61,3103.522,3044.0,5.0,6.0,1
91.0,0.0,2,0,2,0,0,0,0,2,4320.0,2160.0,1918.0,2.0,2.0,1
92.0,34.0,16,16,16,16,16,0,16,12,29162.88,7290.72,2952.0,4.0,5.0,0
93.0,74.0,6,0,6,6,0,0,0,0,11979.0,3993.0,2679.0,3.0,5.0,1
94.0,195.0,5,0,0,0,0,5,0,5,3960.0,792.0,2345.0,5.0,5.0,0
95.0,84.0,0,9,0,0,9,0,9,0,50343.0,5593.666666666667,396.0,9.0,12.0,0
96.0,0.0,1,1,0,0,1,1,1,1,5189.0,5189.0,3775.0,1.0,1.0,1
97.0,173.0,6,6,0,3,3,0,6,3,10845.32,3615.1066666666666,792.0,3.0,3.0,0
98.0,0.0,1,0,1,1,0,0,0,0,3045.0,3045.0,7031.0,1.0,1.0,0
99.0,111.0,9,18,9,9,27,9,27,27,24143.17,2682.5744444444445,914.0,9.0,10.0,1
100.0,42.0,12,4,16,12,4,4,4,0,23658.66,5914.665,3441.0,4.0,4.0,0
101.0,0.0,1,0,0,1,0,0,0,0,2065.0,2065.0,6666.0,1.0,1.0,1
102.0,0.0,1,0,1,1,0,0,0,0,2810.0,2810.0,6819.0,1.0,1.0,1
103.0,215.0,6016,2752,576,4288,2752,1408,2496,3072,379852.04,5935.188125,945.0,64.0,113.0,1
104.0,115.0,2162,2444,423,1645,2679,611,2585,1081,269892.0,5742.382978723404,1096.0,47.0,79.0,0
105.0,30.0,18,9,54,18,18,9,9,18,7735.49,859.4988888888888,3928.0,9.0,10.0,1
106.0,3.0,0,6,0,0,0,0,6,0,5868.37,2934.185,275.0,2.0,5.0,0
107.0,196.0,32,24,40,16,32,8,16,24,23548.06,2943.5075,1126.0,8.0,8.0,1
108.0,190.0,1178,961,0,279,744,310,961,279,149478.11000000002,4821.874516129033,669.0,31.0,48.0,1
109.0,207.0,928,1682,1479,406,1305,232,1682,145,305669.58999999997,10540.330689655171,30.0,29.0,62.0,0
110.0,139.0,32,24,48,40,24,8,24,0,29412.38,3676.5475,2102.0,8.0,9.0,0
111.0,0.0,4,2,0,4,4,4,0,6,10196.0,5098.0,4505.0,2.0,2.0,0
112.0,0.0,1,0,0,0,1,1,1,0,2772.0,2772.0,1675.0,1.0,1.0,1
113.0,206.0,72,36,36,36,90,72,54,72,35133.99,1951.8883333333333,61.0,18.0,20.0,0
114.0,150.0,12,0,0,6,0,0,0,6,5607.3,934.5500000000001,4810.0,6.0,6.0,0
115.0,131.0,168,144,192,96,216,216,216,0,105275.34,4386.4725,1157.0,24.0,33.0,0
116.0,245.0,1403,7137,1037,915,7747,3233,6893,2074,479610.91,7862.473934426229,2130.0,61.0,151.0,1
117.0,179.0,143,65,13,26,39,39,130,0,39570.63,3043.894615384615,91.0,13.0,13.0,0
118.0,0.0,0,0,1,0,0,0,0,0,510.0,510.0,5389.0,1.0,1.0,1
119.0,259.0,7553,3984,2407,4399,5478,2656,4648,2656,492531.35,5934.112650602409,30.0,83.0,123.0,0
120.0,104.0,3,0,3,0,0,0,0,0,1740.0,580.0,5205.0,3.0,3.0,1
121.0,257.0,4346,3936,246,2870,3280,5412,3772,3034,617309.02,7528.158780487805,335.0,82.0,173.0,0
122.0,121.0,5,0,0,0,0,0,0,0,13469.0,2693.8,1675.0,5.0,5.0,1
123.0,0.0,1,1,0,0,1,0,1,0,3763.0,3763.0,2587.0,1.0,1.0,1
124.0,0.0,1,1,1,0,0,0,0,1,1692.0,1692.0,4262.0,1.0,1.0,0
125.0,181.0,40,32,64,24,24,0,32,0,30172.48,3771.56,1034.0,8.0,8.0,1
126.0,49.0,3,3,0,0,0,0,3,0,25259.48,8419.826666666666,1218.0,3.0,4.0,1
127.0,324.0,171,266,152,95,228,152,266,152,78365.37,4124.493157894736,122.0,19.0,24.0,0
128.0,0.0,1,0,1,0,0,0,0,0,4240.0,4240.0,4597.0,1.0,1.0,1
129.0,200.0,5251,9381,177,2891,7788,1416,9794,531,558198.8300000001,9460.997118644069,61.0,59.0,329.0,0
130.0,84.0,10,0,0,0,0,0,0,5,41773.08,8354.616,2406.0,5.0,7.0,1
