DATA_MENSAL,TOTAL_CASOS,TOTAL_DOLAR_FATURADO,ID
2013-04-01,1,1910.0,16
2011-09-01,1,4270.0,16
2010-11-01,1,6185.17,16
2011-12-01,1,5480.5,16
2010-05-01,1,2895.0,17
2022-04-01,1,2521.42,18
2021-05-01,1,2466.24,18
2023-09-01,1,1442.0,18
2021-01-01,1,5045.51,19
2018-03-01,1,5077.4,19
2019-04-01,1,6531.52,19
2013-07-01,1,1850.0,19
2017-07-01,1,400.0,19
2018-03-01,1,3400.26,20
2013-06-01,1,880.0,20
2013-07-01,1,580.0,20
2017-07-01,1,3739.88,20
2012-01-01,2,1822.5,21
2017-01-01,1,6123.12,21
2018-01-01,1,8328.32,21
2019-01-01,2,9324.16,21
2020-01-01,2,7459.6,21
2021-01-01,3,7125.95,21
2022-01-01,1,2041.59,21
2014-02-01,1,7071.93,21
2018-02-01,1,1765.02,21
2019-02-01,1,4823.36,21
2020-02-01,3,17998.17,21
2021-02-01,1,9962.79,21
2022-02-01,1,2530.32,21
2024-02-01,1,1703.15,21
2012-03-01,1,2450.0,21
2015-03-01,1,7914.16,21
2016-03-01,2,8139.98,21
2017-03-01,1,4802.84,21
2020-03-01,3,8615.13,21
2021-03-01,1,4434.35,21
2022-03-01,1,5833.75,21
2024-03-01,1,1506.37,21
2014-04-01,1,10450.13,21
2016-04-01,1,5612.44,21
2017-04-01,1,5415.68,21
2018-04-01,1,5917.94,21
2019-04-01,1,3468.42,21
2021-04-01,1,4695.63,21
2023-04-01,1,3087.05,21
2018-05-01,2,4669.26,21
2019-05-01,2,8617.88,21
2020-05-01,5,11929.87,21
2023-05-01,1,2762.14,21
2014-06-01,4,17055.28,21
2015-06-01,1,3501.78,21
2016-06-01,2,10207.24,21
2019-06-01,1,3082.0,21
2020-06-01,2,4689.54,21
2022-06-01,5,30078.75,21
2024-06-01,1,2921.68,21
2010-07-01,1,1208.0,21
2014-07-01,1,8194.48,21
2009-08-01,1,2650.0,21
2014-08-01,1,5739.94,21
2015-08-01,1,2053.38,21
2016-08-01,1,2440.76,21
2017-08-01,3,9989.3,21
2021-08-01,3,7920.93,21
2022-08-01,1,3128.57,21
2023-08-01,2,3693.86,21
2014-09-01,1,2745.8,21
2016-09-01,3,13568.92,21
2020-09-01,4,10888.39,21
2021-09-01,2,13801.51,21
2023-09-01,3,5804.92,21
2010-10-01,1,2645.0,21
2012-10-01,1,990.0,21
2019-10-01,1,4521.78,21
2021-10-01,2,4125.63,21
2022-10-01,1,2785.02,21
2018-11-01,1,2534.86,21
2019-11-01,4,22300.23,21
2020-11-01,2,11767.85,21
2023-11-01,2,4002.79,21
2008-12-01,1,2250.0,21
2013-12-01,1,1510.0,21
2014-12-01,2,4272.9,21
2017-12-01,1,5504.5,21
2018-12-01,1,2109.58,21
2022-12-01,1,2194.51,21
2017-01-01,1,650.0,22
2022-07-01,1,3621.68,22
2023-08-01,1,4034.14,22
2018-01-01,1,5269.44,23
2019-01-01,1,5277.96,23
2024-01-01,2,6879.47,23
2017-02-01,1,5465.2,23
2021-02-01,2,8101.81,23
2020-03-01,1,4266.98,23
2023-03-01,1,2852.83,23
2024-03-01,1,4634.78,23
2017-04-01,2,10439.54,23
2024-04-01,3,13015.93,23
2021-05-01,3,11886.76,23
2022-05-01,3,6153.79,23
2013-06-01,1,2605.0,23
2019-07-01,1,3869.28,23
2020-07-01,2,8575.0,23
2021-07-01,2,2981.23,23
2024-07-01,1,2522.51,23
2016-08-01,2,7285.44,23
2017-08-01,2,12884.74,23
2019-08-01,1,5366.78,23
2020-08-01,1,4090.46,23
2021-08-01,1,5003.5,23
2024-08-01,2,6195.53,23
2021-09-01,2,11590.01,23
2023-09-01,1,3085.83,23
2024-09-01,1,3516.3,23
2016-10-01,1,5188.88,23
2020-10-01,1,5156.57,23
2021-10-01,1,2663.47,23
2023-10-01,1,2816.47,23
2024-10-01,4,11689.83,23
2019-11-01,1,5742.36,23
2021-11-01,2,4530.66,23
2022-11-01,1,2455.6,23
2023-11-01,1,2166.42,23
2019-12-01,1,7098.89,23
2021-12-01,3,7579.35,23
