PLAYER_ID,PLAYER_NAME,GP,PTS_PER_GP,IMC,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,FGM,FGA,FG%,AST,TOV,PF,TEAM_ABBREVIATION,FG_PCT_Restricted_Area,FG_PCT_In_The_Paint_(Non-RA),FG_PCT_Left_Corner_3,FG_PCT_Right_Corner_3,FG_PCT_Mid-Range,FG_PCT_Above_the_Break_3,AST_PER_GP,STL_PER_GP,BLK_PER_GP,MIN_PER_GP
1631170,Jaime Jaquez Jr.,75,11.85,26.03,2.8,3.9,9.4,18.099999999999998,57.4,341,697,48.9,195,110,167,MIA,65.4,47.4,37.3,26.5,38.0,33.300000000000004,2.6,1.0266666666666666,0.26666666666666666,28.173333333333332
1631172,Ousmane Dieng,33,4.03,19.77,1.1,2.7,10.5,16.7,54.0,49,116,42.199999999999996,37,19,22,OKC,73.1,41.699999999999996,63.6,36.4,50.0,20.8,1.121212121212121,0.24242424242424243,0.15151515151515152,11.06060606060606
1631173,Terquavion Smith,16,3.25,19.48,-5.9,0.0,4.9,24.2,53.900000000000006,18,46,39.1,12,7,8,PHI,62.5,0.0,50.0,0.0,0.0,38.7,0.75,0.5,0.0,5.3125
1631197,Jared Rhoden,17,4.88,24.79,-9.4,1.2,12.3,13.5,59.699999999999996,33,66,50.0,14,7,28,DET,80.0,60.0,28.599999999999998,57.099999999999994,46.7,37.5,0.8235294117647058,0.17647058823529413,0.7647058823529411,14.411764705882353
1631200,Kris Murray,62,6.06,23.11,-6.0,5.7,10.7,13.600000000000001,48.1,145,366,39.6,80,55,92,POR,61.5,36.8,26.8,34.0,0.0,23.1,1.2903225806451613,0.8548387096774194,0.3387096774193548,21.741935483870968
1631204,Marcus Sasser,71,8.25,25.03,-8.7,0.8,8.5,19.5,54.2,219,512,42.8,236,90,103,DET,62.1,45.800000000000004,60.0,23.5,40.400000000000006,36.5,3.323943661971831,0.6197183098591549,0.16901408450704225,19.028169014084508
1631205,Buddy Boeheim,10,3.4,24.21,10.2,3.4000000000000004,7.3,16.1,50.9,9,29,31.0,3,0,5,DET,0.0,0.0,0.0,25.0,50.0,35.0,0.3,0.0,0.1,8.4
1631207,Dalen Terry,59,3.05,21.89,2.2,4.2,12.4,12.7,51.2,69,157,43.9,81,32,81,CHI,69.19999999999999,42.9,33.300000000000004,31.6,25.0,15.4,1.3728813559322033,0.4576271186440678,0.3050847457627119,11.542372881355933
1631210,Jacob Toppin,9,1.44,22.01,-19.8,7.7,14.799999999999999,13.3,65.8,5,9,55.60000000000001,3,1,3,NYK,100.0,0.0,0.0,0.0,100.0,33.300000000000004,0.3333333333333333,0.0,0.1111111111111111,4.222222222222222
1631212,Peyton Watson,80,6.65,22.45,-0.7,3.8,12.1,16.0,53.900000000000006,208,447,46.5,86,58,143,DEN,63.7,44.4,28.1,29.7,41.199999999999996,32.5,1.075,0.525,1.1,18.6
